
="",="Annual food consumption(USD)"
="",="(1)",="(2)",="(3)"

="Treatment",="-15.114*",="-19.053*",="-19.053"
="",="(7.687)",="(7.615)",="(18.373)"

="Experienced crop damage",="",="51.708***",="51.708***"
="",="",="(7.898)",="(8.387)"

="Experienced drought/flood",="",="-0.057",="-0.057"
="",="",="(8.002)",="(9.519)"

="Constant",="235.414***",="210.595***",="210.595***"
="",="(5.438)",="(7.482)",="(16.731)"

="Observations",="1758",="1758",="1758"
="Clustering",="No",="No",="Yes"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
